Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,100,India,201,Somalia,5910,Export Quantity,15,Wheat,2019,2019,tonnes,4260,,Official data
TM,Detailed trade matrix,100,India,201,Somalia,5910,Export Quantity,15,Wheat,2020,2020,tonnes,5448,,Official data
TM,Detailed trade matrix,100,India,202,South Africa,5910,Export Quantity,15,Wheat,2016,2016,tonnes,3,,Official data
TM,Detailed trade matrix,100,India,202,South Africa,5910,Export Quantity,15,Wheat,2017,2017,tonnes,6,,Official data
TM,Detailed trade matrix,100,India,202,South Africa,5910,Export Quantity,15,Wheat,2018,2018,tonnes,110,,Official data
TM,Detailed trade matrix,100,India,202,South Africa,5910,Export Quantity,15,Wheat,2019,2019,tonnes,10,,Official data
TM,Detailed trade matrix,100,India,202,South Africa,5910,Export Quantity,15,Wheat,2020,2020,tonnes,24,,Official data
TM,Detailed trade matrix,100,India,38,Sri Lanka,5610,Import Quantity,15,Wheat,2019,2019,tonnes,48,,Official data
TM,Detailed trade matrix,100,India,38,Sri Lanka,5910,Export Quantity,15,Wheat,2016,2016,tonnes,1693,,Official data
TM,Detailed trade matrix,100,India,38,Sri Lanka,5910,Export Quantity,15,Wheat,2017,2017,tonnes,2202,,Official data
TM,Detailed trade matrix,100,India,38,Sri Lanka,5910,Export Quantity,15,Wheat,2018,2018,tonnes,2823,,Official data
TM,Detailed trade matrix,100,India,38,Sri Lanka,5910,Export Quantity,15,Wheat,2019,2019,tonnes,2039,,Official data
TM,Detailed trade matrix,100,India,38,Sri Lanka,5910,Export Quantity,15,Wheat,2020,2020,tonnes,72102,,Official data
TM,Detailed trade matrix,100,India,276,Sudan,5910,Export Quantity,15,Wheat,2020,2020,tonnes,0,,Official data
TM,Detailed trade matrix,100,India,207,Suriname,5910,Export Quantity,15,Wheat,2019,2019,tonnes,0,,Official data
TM,Detailed trade matrix,100,India,210,Sweden,5910,Export Quantity,15,Wheat,2020,2020,tonnes,0,,Official data
TM,Detailed trade matrix,100,India,216,Thailand,5910,Export Quantity,15,Wheat,2016,2016,tonnes,1,,Official data
TM,Detailed trade matrix,100,India,216,Thailand,5910,Export Quantity,15,Wheat,2017,2017,tonnes,28,,Official data
TM,Detailed trade matrix,100,India,216,Thailand,5910,Export Quantity,15,Wheat,2018,2018,tonnes,24,,Official data
TM,Detailed trade matrix,100,India,216,Thailand,5910,Export Quantity,15,Wheat,2019,2019,tonnes,0,,Official data
TM,Detailed trade matrix,100,India,216,Thailand,5910,Export Quantity,15,Wheat,2020,2020,tonnes,0,,Official data
TM,Detailed trade matrix,100,India,217,Togo,5910,Export Quantity,15,Wheat,2017,2017,tonnes,1,,Official data
TM,Detailed trade matrix,100,India,217,Togo,5910,Export Quantity,15,Wheat,2018,2018,tonnes,1,,Official data
TM,Detailed trade matrix,100,India,217,Togo,5910,Export Quantity,15,Wheat,2019,2019,tonnes,3,,Official data
